,game_idx,ai_treatment,hint_treatment,is_tutorial_game,reward,hit_goals,designed_goals,player0_move,player1_move
6867,411,0,1,False,0,"(-1, 3)","(1, 3)","[2, 2, 3, 3, 4, 4, 4, 2, 2, 3, 3, 2, 2, 3, 2, 1, 2, 2, 2, 0]","[0, 0, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6868,828,0,1,False,10,"(0, 2)","(0, 2)","[0, 0, 2, 0, 0, 2]","[0, 3, 3, 0, 0, 2]"
6869,298,0,1,False,10,"(0, 2)","(0, 2)","[0, 0, 0, 0, 0, 0]","[1, 1, 3, 1, 4, 4]"
6870,318,0,1,False,4,"(0, 3)","(1, 3)","[0, 0, 1, 3, 3, 3, 1, 4, 4, 4, 4, 4]","[0, 0, 0, 2, 0, 2, 0, 0, 3, 3, 3, 3]"
6871,758,0,1,False,4,"(0, 3)","(1, 3)","[0, 0, 2, 1, 3, 3, 3, 2, 0, 0, 0, 3, 3, 3, 0]","[0, 0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6872,339,0,1,False,4,"(0, 3)","(1, 3)","[0, 1, 1, 1, 1, 1, 3, 3, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 3, 3, 4, 4, 4]"
6873,21,0,1,False,4,"(0, 3)","(1, 3)","[1, 1, 2, 1, 1, 0, 0, 0, 2, 2]","[1, 3, 3, 3, 3, 3, 3, 3, 4, 4]"
6874,422,0,1,False,10,"(0, 2)","(0, 2)","[0, 3, 3, 3, 3, 0, 0, 0, 0]","[2, 2, 0, 0, 4, 4, 4, 4, 4]"
6875,862,0,1,False,10,"(0, 2)","(0, 2)","[0, 3, 3, 3]","[0, 3, 3, 0]"
6876,546,0,1,False,10,"(0, 2)","(0, 2)","[3, 3, 3, 0, 0, 0, 0]","[2, 2, 2, 2, 4, 4, 4]"
6877,165,0,1,False,10,"(0, 2)","(0, 2)","[1, 1, 1, 2, 2, 1, 1]","[1, 1, 3, 3, 3, 4, 4]"
6878,124,0,1,False,10,"(0, 2)","(0, 2)","[3, 0, 0, 0, 3, 4, 4, 4]","[2, 2, 1, 1, 1, 2, 2, 1]"
6879,113,0,1,False,0,"(-1, 2)","(0, 2)","[0, 0, 0, 0, 0, 0, 3, 3, 0, 2, 3, 3, 3, 1, 1, 1, 0, 0, 0, 2]","[1, 1, 1, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6880,941,0,1,False,4,"(0, 3)","(1, 3)","[0, 0, 0, 2, 2, 4]","[1, 1, 1, 1, 2, 2]"
6881,936,0,1,False,4,"(0, 3)","(1, 3)","[2, 2, 2, 0, 4, 4, 4, 4]","[1, 1, 2, 1, 2, 1, 1, 1]"
6882,269,0,1,False,4,"(0, 3)","(1, 3)","[2, 2, 2, 2, 1]","[0, 3, 3, 3, 4]"
6883,259,0,1,False,10,"(1, 3)","(1, 3)","[1, 1, 1, 0, 0, 0, 3, 3, 3, 3, 3]","[3, 0, 3, 3, 4, 4, 4, 4, 4, 4, 4]"
6884,623,0,1,False,10,"(0, 2)","(0, 2)","[1, 1, 1, 1, 2, 1, 4, 4, 4]","[3, 3, 1, 1, 3, 3, 3, 3, 3]"
6885,663,0,1,False,10,"(0, 2)","(0, 2)","[0, 1, 2, 2, 1, 2, 2, 0, 0, 0, 0, 1, 1, 3]","[0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4]"
6886,341,0,1,False,4,"(0, 3)","(1, 3)","[0, 0, 2, 2, 0, 0, 0, 3, 3, 0]","[0, 0, 3, 3, 3, 3, 1, 3, 3, 4]"
6887,741,0,1,False,10,"(0, 2)","(0, 2)","[0, 3, 3, 1, 3, 3, 3, 3]","[0, 0, 0, 2, 0, 0, 4, 4]"
6888,388,0,1,False,10,"(0, 2)","(0, 2)","[3, 0, 0, 0, 0, 4]","[3, 0, 3, 0, 0, 0]"
6889,730,0,1,False,4,"(0, 3)","(1, 3)","[3, 3, 3, 1, 3, 3, 3, 0, 0]","[3, 3, 3, 1, 1, 3, 3, 3, 3]"
6890,967,0,1,False,-10,"(-1, -1)","(1, 3)","[3, 3]","[1, 1]"
6891,432,0,1,False,4,"(0, 3)","(1, 3)","[1, 1, 2, 2, 3, 2, 2, 1, 1, 1, 0, 2, 2, 2, 2, 0, 0, 0]","[1, 1, 2, 2, 1, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6892,589,0,1,False,4,"(0, 3)","(1, 3)","[2, 0, 0, 0, 1, 2, 2, 2, 1, 1]","[0, 2, 2, 0, 2, 2, 2, 4, 4, 4]"
6893,662,0,1,False,4,"(0, 3)","(1, 3)","[0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 3, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6894,430,0,1,False,10,"(0, 2)","(0, 2)","[3, 1, 1, 1, 4, 4, 4]","[0, 0, 0, 2, 2, 2, 2]"
