,human_belief,treatment,game_idx,designed_goal,player0_move,player1_move
97,0,1,211,1,"[0, 1, 1, 2, 1]","[0, 1, 1, 2, 1]"
98,0,1,153,1,"[0, 0, 0, 0, 1, 2, 1]","[0, 0, 0, 0, 1, 2, 1]"
99,1,1,78,1,"[2, 2, 1, 1, 2, 2]","[2, 2, 1, 1, 2, 2]"
100,1,1,33,0,"[0, 3, 3, 1, 1]","[0, 3, 3, 1, 1]"
101,0,1,161,0,"[3, 1, 3, 3, 3]","[3, 1, 3, 3, 3]"
102,1,1,95,0,"[0, 1, 3, 3]","[0, 1, 3, 3]"
103,1,1,77,0,"[1, 1, 1, 1]","[1, 1, 1, 1]"
104,0,1,91,0,"[0, 0, 1, 3, 3, 3, 1]","[0, 0, 1, 3, 3, 3, 1]"
105,1,1,246,1,"[0, 0, 3, 3]","[0, 0, 3, 3]"
106,0,1,11,1,"[0, 0, 0, 0]","[0, 0, 0, 0]"
107,0,1,85,1,"[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]"
108,1,1,235,1,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 1]"
109,0,1,124,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
110,1,1,73,0,"[0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 0, 3, 0]"
111,1,1,117,1,"[0, 0, 0, 2, 0, 2]","[0, 0, 0, 2, 0, 2]"
112,0,1,0,1,"[3, 3, 3, 3]","[3, 3, 3, 3]"
113,1,1,21,0,"[1, 1, 2, 1, 2, 1]","[1, 1, 2, 1, 2, 1]"
114,0,1,185,0,"[1, 1, 3, 1]","[1, 1, 3, 1]"
115,0,1,123,1,"[0, 1, 1, 3]","[0, 1, 1, 3]"
116,0,1,132,0,"[1, 1, 1, 1]","[1, 1, 1, 1]"
117,1,1,70,1,"[2, 2, 1, 2, 2]","[2, 2, 1, 2, 2]"
118,0,1,119,1,"[0, 0, 2, 2, 2, 0]","[0, 0, 2, 2, 2, 0]"
119,0,1,50,1,"[0, 0, 0, 0]","[0, 0, 0, 0]"
120,1,1,226,0,"[1, 1, 1, 1, 3]","[1, 1, 1, 1, 3]"
121,0,1,99,0,"[3, 0, 0, 0, 0]","[3, 0, 0, 0, 0]"
122,1,1,48,1,"[1, 3, 1, 1, 1]","[1, 3, 1, 1, 1]"
123,0,1,50,1,"[0, 0, 0, 0]","[0, 0, 0, 0]"
124,1,1,154,1,"[0, 3, 3, 3, 3, 0]","[0, 3, 3, 3, 3, 0]"
125,0,1,143,0,"[3, 3, 1, 1, 2, 1]","[3, 3, 1, 1, 2, 1]"
126,1,1,116,1,"[0, 0, 2, 0, 0]","[0, 0, 2, 0, 0]"
127,1,1,208,1,"[1, 1, 1, 2, 1, 1, 1]","[1, 1, 1, 2, 1, 1, 1]"
128,1,1,60,1,"[0, 0, 3, 3, 3]","[0, 0, 3, 3, 3]"
129,0,1,135,0,"[0, 0, 0, 3, 3]","[0, 0, 0, 3, 3]"
130,1,1,10,1,"[0, 1, 2, 2, 1, 2, 2]","[0, 1, 2, 2, 1, 2, 2]"
131,1,1,43,1,"[0, 1, 3, 3, 1]","[0, 1, 3, 3, 1]"
132,0,1,199,0,"[3, 1, 1, 3, 3, 3]","[3, 1, 1, 3, 3, 3]"
