idx,move
1441,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 1]"
3193,"[3, 3, 3, 3, 1, 1, 1, 1]"
2176,"[3, 3, 1, 1, 1, 1, 1, 2, 2, 2, 0]"
1944,"[3, 3, 3, 3, 1, 1, 1, 1, 1]"
260,"[1, 3, 3, 3, 3, 3, 0, 0]"
3202,"[1, 1, 1, 1, 2, 2, 2, 1]"
861,"[0, 3, 3, 3, 3, 0, 0]"
498,"[3, 3, 1, 3, 3]"
2009,"[1, 1, 3, 3, 3, 3]"
535,"[0, 0, 0, 0, 0]"
981,"[3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
846,"[2, 2, 2, 2, 0, 2, 0, 0, 0, 3, 3]"
1762,"[2, 2, 0, 2, 2, 2]"
1958,"[0, 3, 3, 3, 3, 3]"
268,"[1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0]"
1734,"[1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
833,"[3, 3, 1, 1, 1, 2, 2, 1]"
352,"[1, 1, 3, 3, 3, 0, 3, 3, 0]"
2658,"[1, 1, 2, 2, 2, 2, 2]"
3109,"[0, 0, 0, 0, 0]"
2425,"[1, 2, 2, 2, 2, 0, 0, 0, 2]"
456,"[2, 2, 2, 2, 0, 0, 0, 0, 2]"
2633,"[1, 1, 2, 1, 1, 1, 3, 3, 3]"
1859,"[3, 3, 3, 3, 1, 1]"
3004,"[3, 0, 0, 0, 3, 3, 3, 3]"
146,"[0, 0, 0, 2, 2, 2, 2, 2, 1, 1, 3]"
2997,"[3, 3, 3, 0, 3]"
3143,"[3, 3, 3, 3, 3, 0]"
932,"[0, 0, 3, 3, 3, 3, 1, 1]"
1651,"[0, 0, 0, 0, 3]"
2406,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3]"
2313,"[0, 3, 3, 3, 0, 0, 0, 3, 3]"
2020,"[2, 2, 2, 2, 0, 2]"
1920,"[2, 2, 2, 2, 2]"
2389,"[3, 3, 3, 0, 0, 0, 0, 0]"
551,"[1, 1, 1, 1]"
2729,"[1, 3, 3, 3, 3, 3, 1, 2]"
2523,"[3, 3, 3, 1, 1, 1, 1, 2, 1, 2, 2]"
2674,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
903,"[2, 2, 2, 2, 2, 0]"
610,"[1, 0, 0, 3, 3, 3, 3]"
1157,"[3, 3, 3, 3, 0]"
2902,"[1, 1, 1, 1, 3, 3, 3, 3, 3]"
1372,"[1, 1, 1, 1, 1, 3, 3, 3, 3]"
2405,"[3, 0, 0, 3, 3, 3, 1]"
3234,"[0, 0, 0, 0, 2]"
2665,"[3, 3, 3, 3, 0]"
2188,"[0, 0, 0, 0, 0, 2, 2]"
2438,"[0, 0, 2, 2, 2, 2, 0]"
2246,"[0, 0, 3, 3, 3, 3, 3]"
810,"[2, 0, 0, 0, 2, 2, 2, 2]"
2806,"[3, 3, 3, 3, 3, 0, 0, 0, 0]"
